Sleep_stage,duration
W,30630
1,120
2,390
3,30
2,30
3,150
4,30
3,60
4,60
3,30
4,120
3,30
4,120
W,30
3,60
2,60
3,120
4,30
3,30
4,120
2,210
3,30
2,60
3,120
1,30
2,150
3,60
2,30
3,30
2,30
3,120
4,150
3,30
2,30
3,60
4,30
3,90
4,1890
1,30
3,210
2,60
3,90
2,150
3,30
R,870
1,180
2,240
3,30
1,120
2,90
1,30
2,930
3,30
2,30
3,60
4,30
3,30
4,30
3,30
4,30
3,30
2,150
3,60
4,90
3,60
4,30
3,30
4,60
3,60
4,180
3,60
4,30
3,30
4,270
1,30
2,60
1,30
2,210
1,30
2,60
1,30
2,180
R,870
2,30
1,60
W,30
1,120
2,870
1,30
2,30
1,30
2,300
3,30
2,390
3,30
2,30
3,30
2,30
3,180
4,90
3,30
2,210
3,60
2,30
4,30
3,180
4,60
3,60
4,60
3,120
2,120
3,30
4,30
2,30
R,240
1,30
R,510
W,30
1,120
W,480
1,90
W,30
1,120
2,690
W,60
1,30
2,990
3,30
2,30
3,90
2,120
3,60
2,60
3,30
2,30
3,30
2,30
3,120
2,210
3,30
2,120
1,60
R,990
W,30
1,150
R,270
W,510
1,90
W,300
1,30
W,540
1,150
W,27240
